Track ID,From Track,Signal Name,Direction,Station ID,Next Station,Distance to Station,Length,Trip Count,Trip Total,Percent,Is Revenue,Line
TEGL44T,TEGL64TA,S337ST(X56),2,EGL,EGL2,0,160.6296,8452.104,30171.1944,0.280138197,1,1
TEGL100ATA,TEGL44T,S331(X1),2,DAV,DAV2,731.52,61.8744,8612.7336,30171.1944,0.285462136,1,1
TEGL1T,TEGL100ATA,NA330(X44)*,2,DAV,DAV2,669.6456,161.544,8674.608,30171.1944,0.287512913,1,1
TDVV5T,TEGL1T,S325GT(X5),2,DAV,DAV2,508.1016,51.816,8836.152,30171.1944,0.292867159,1,1
TDVV323T,TDVV5T,S323*,2,DAV,DAV2,456.2856,188.0616,8887.968,30171.1944,0.294584559,1,1
TDVV103ATD,TDVV323T,S317(X7),2,DAV,DAV2,268.224,137.4648,9076.0296,30171.1944,0.30081771,1,1
TDVV7T,TDVV103ATD,S313,2,DAV,DAV2,130.7592,130.7592,9213.4944,30171.1944,0.30537387,1,1
TDVV9T,TDVV7T,S307(X9),2,DAV,DAV2,0,155.448,9344.2536,30171.1944,0.309707779,1,1
TDVV11T,TDVV9T,S303(X11),2,STC,STC2,963.4728,119.7864,9499.7016,30171.1944,0.314859978,1,1
TDVV111TA,TDVV11T,S299*,2,STC,STC2,843.6864,60.96,9619.488,30171.1944,0.318830202,1,1
TDVV112ATA,TDVV111TA,S297*,2,STC,STC2,782.7264,47.244,9680.448,30171.1944,0.320850672,1,1
TDVV21T,TDVV112ATA,S295(X14),2,STC,STC2,735.4824,87.4776,9727.692,30171.1944,0.322416536,1,1
TDVV293T,TDVV21T,S293,2,STC,STC2,648.0048,139.5984,9815.1696,30171.1944,0.325315911,1,1
TSTC289T,TDVV293T,S289,2,STC,STC2,508.4064,165.8112,9954.768,30171.1944,0.329942788,1,1
TSTC283T,TSTC289T,S283,2,STC,STC2,342.5952,138.9888,10120.5792,30171.1944,0.335438467,1,1
TSTC279T,TSTC283T,S279,2,STC,STC2,203.6064,203.6064,10259.568,30171.1944,0.340045139,1,1
TSTC271T,TSTC279T,S271GT,2,STC,STC2,0,162.4584,10463.1744,30171.1944,0.34679351,1,1
TSTC267T,TSTC271T,S267,2,SUM,SUM2,620.5728,144.1704,10625.6328,30171.1944,0.352178063,1,1
TSTC261T,TSTC267T,S261,2,SUM,SUM2,476.4024,102.4128,10769.8032,30171.1944,0.356956475,1,1
TSUM257T,TSTC261T,S257,2,SUM,SUM2,373.9896,103.632,10872.216,30171.1944,0.360350865,1,1
TSUM255T,TSUM257T,S255GT,2,SUM,SUM2,270.3576,45.72,10975.848,30171.1944,0.363785664,1,1
TSUM253T,TSUM255T,S253*,2,SUM,SUM2,224.6376,224.6376,11021.568,30171.1944,0.365301017,1,1
TSUM245T,TSUM253T,S245,2,SUM,SUM2,0,174.9552,11246.2056,30171.1944,0.37274645,1,1
TSUM239T,TSUM245T,S239,2,ROS,ROS2,412.3944,127.7112,11421.1608,30171.1944,0.378545199,1,1
TSUM235T,TSUM239T,S235,2,ROS,ROS2,284.6832,77.4192,11548.872,30171.1944,0.382778085,1,1
TROS233T,TSUM235T,S233,2,ROS,ROS2,207.264,65.8368,11626.2912,30171.1944,0.385344082,1,1
TROS231T,TROS233T,S231*,2,ROS,ROS2,141.4272,141.4272,11692.128,30171.1944,0.38752619,1,1
